Unnamed: 0,Formula,Composto,Ant (A),Ant (B),Ant (C),Max,Min
158.0,C4H7N,butyronitrile,"16,2092","3202,21","-46,16",433.0,307.0
159.0,C4H7O2,methyl acrilate,"16,1088","2788,43","-59,15",390.0,260.0
160.0,C4H8,1-butene,"15,7564","2132,42","-33,15",295.0,190.0
161.0,C4H8,cis-2-butene,"15,8171","2210,71","-36,15",305.0,200.0
162.0,C4H8,trans-2-butene,"15,8177","2212,32","-33,15",300.0,200.0
163.0,C4H8,cyclobutene,"15,9254","2359,09","-31,78",290.0,200.0
164.0,C4H8,isobutylene,"15,7528","2125,75","-33,15",290.0,190.0
165.0,C4H8O,n-butyraldehyde,"16,1668","2839,09","-50,15",380.0,255.0
166.0,C4H8O,isobutyraldehyde,"15,9888","2676,98","-51,15",370.0,247.0
167.0,C4H8O,methyl ethyl ketone,"16,5986","3150,42","-36,65",376.0,257.0
168.0,C4H8O,tetraydrofuran,"16,1069","2768,38","-46,90",370.0,270.0
169.0,C4H8O,vynil ethyl eter,"15,8911","2449,26","-44,15",340.0,225.0
170.0,C4H8O2,n-butiric acid,"17,9240","4130,93","-70,55",470.0,335.0
171.0,C4H8O2,"1,4 dioxane","16,1327","2966,88","-65,15",410.0,275.0
172.0,C4H8O2,athyl acetate,"16,1516","2790,50","-57,15",385.0,260.0
173.0,C4H8O2,isobutyric acid,"16,7792","3385,49","-94,15",465.0,330.0
174.0,C4H8O2,methyl propionate,"16,1693","2804,06","-58,92",385.0,260.0
175.0,C4H8O2,n-propil formate,"15,7671","2593,95","-69,69",360.0,280.0
176.0,C4H9Cl,1-chlorobutane,"15,9750","2826,26","-49,05",385.0,255.0
177.0,C4H9Cl,2-chlorobutane,"15,9907","2753,43","-47,15",375.0,250.0
178.0,C4H9Cl,tert-butyl chloride,"15,8121","2567,15","-44,15",360.0,235.0
179.0,C4H9N,pyrolidine,"15,9444","2717,03","-67,90",400.0,300.0
180.0,C4H9NO,morpholine,"16,2364","3171,35","-71,15",440.0,300.0
181.0,C4H10,n-butane,"15,6782","2154,90","-34,42",290.0,195.0
182.0,C4H10,isobutane,"15,5381","2032,73","-33,15",280.0,187.0
183.0,C4H10O,n-butanol,"17,2160","3137,02","-94,43",404.0,288.0
184.0,C4H10O,2-butanol,"17,2102","3026,03","-86,65",393.0,298.0
185.0,C4H10O,isobutanol,"16,8712","2874,73","-100,03",388.0,293.0
186.0,C4H10O,tert-butanol,"16,8548","2658,29","-95,50",376.0,293.0
187.0,C4H10O,ethyl ether,"16,0828","2511,29","-41,95",340.0,225.0
188.0,C4H10O2,"1,2-dimethoxythane","16,0241","2969,79","-53,15",393.0,262.0
189.0,C4H10O3,diethylene glycol,"17,0326","4122,52","-122,50",560.0,402.0
190.0,C4H10S,diethyl sulfide,"15,9531","2896,27","-54,49",390.0,260.0
191.0,C4H10S2,diethyl disulfide,"16,0607","3421,57","-64,19",455.0,312.0
192.0,C4H11N,n- butyl amine,"16,6085","3012,70","-48,96",373.0,259.0
193.0,C4H11N,isobutyl amine,"16,1419","2704,16","-56,15",373.0,251.0
